"Retail sales of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/5?agg=1,0&geo=vvvvvvvvvvvvo&endsec=g&linechart=ELEC.SALES.US-ALL.A&columnchart=ELEC.SALES.US-ALL.A&map=ELEC.SALES.US-ALL.A&freq=A&start=2014&end=2023&ctype=linechart&ltype=pin&rtype=s&pin=ELEC.SALES.US-ALL.A&rse=0&maptype=0&utm_source=chatgpt.com"
"Sat Jul 12 2025 13:34:47 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"All sectors : Mississippi","million kilowatthours","ELEC.SALES.MS-ALL.A",49409,48692,49050,47829,50390,48951,46482,48015,48980,48422
"All sectors : Tennessee","million kilowatthours","ELEC.SALES.TN-ALL.A",100219,99632,100758,97240,102911,99829,95004,99621,102112,99046
"All sectors : West South Central","million kilowatthours","ELEC.SALES.WSC-ALL.A",588952,591815,597819,599664,632783,635361,624140,639636,689025,705823
"All sectors : Arkansas","million kilowatthours","ELEC.SALES.AR-ALL.A",47080,46465,46188,46086,49603,48093,45851,48663,48998,48649
"All sectors : Louisiana","million kilowatthours","ELEC.SALES.LA-ALL.A",90628,91676,91453,91206,94186,93129,89127,90819,95139,95374
"All sectors : Oklahoma","million kilowatthours","ELEC.SALES.OK-ALL.A",61573,61336,61517,60492,64575,64796,62299,64525,69487,68979
"All sectors : Texas","million kilowatthours","ELEC.SALES.TX-ALL.A",389670,392337,398662,401880,424419,429343,426863,435628,475401,492820
"All sectors : Mountain","million kilowatthours","ELEC.SALES.MTN-ALL.A",272398,274962,276122,278014,283325,283525,287061,290707,299086,299394
"All sectors : Arizona","million kilowatthours","ELEC.SALES.AZ-ALL.A",76298,77349,78238,77646,78346,77929,81960,81220,84197,85919
"All sectors : Colorado","million kilowatthours","ELEC.SALES.CO-ALL.A",53397,54116,54802,54830,56450,56521,56050,56351,56763,55566
"All sectors : Idaho","million kilowatthours","ELEC.SALES.ID-ALL.A",23233,23059,23063,23794,23754,23985,24461,25286,26201,25674
"All sectors : Montana","million kilowatthours","ELEC.SALES.MT-ALL.A",14102,14207,14101,14710,14839,15321,14584,14962,15584,15505
"All sectors : Nevada","million kilowatthours","ELEC.SALES.NV-ALL.A",35076,36020,36145,36658,37780,36982,38234,39032,39320,38249
"All sectors : New Mexico","million kilowatthours","ELEC.SALES.NM-ALL.A",23115,23094,23040,23010,24049,24880,24777,25394,27156,28347
"All sectors : Utah","million kilowatthours","ELEC.SALES.UT-ALL.A",30043,30192,30180,30589,31242,31143,31663,32678,33366,33344
"All sectors : Wyoming","million kilowatthours","ELEC.SALES.WY-ALL.A",17134,16925,16555,16778,16865,16763,15331,15785,16499,16790
"All sectors : Pacific Contiguous","million kilowatthours","ELEC.SALES.PCC-ALL.A",402061,398550,393081,399260,394556,391836,387900,389584,399093,387018
"All sectors : California","million kilowatthours","ELEC.SALES.CA-ALL.A",262585,261170,256847,257268,255224,250379,250175,247250,251869,239480
"All sectors : Oregon","million kilowatthours","ELEC.SALES.OR-ALL.A",47335,47264,47349,50044,49326,50404,51019,54135,56327,57985
"All sectors : Washington","million kilowatthours","ELEC.SALES.WA-ALL.A",92141,90116,88885,91948,90006,91053,86706,88199,90897,89553
"All sectors : Pacific Noncontiguous","million kilowatthours","ELEC.SALES.PCN-ALL.A",15640,15671,15569,15510,15310,15272,14714,14906,15041,14952
"All sectors : Alaska","million kilowatthours","ELEC.SALES.AK-ALL.A",6165,6159,6123,6186,5972,5819,5918,5969,6002,6025
"All sectors : Hawaii","million kilowatthours","ELEC.SALES.HI-ALL.A",9475,9511,9445,9324,9337,9453,8797,8936,9039,8927
