"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=00fvvvvvvvvvo&endsec=g&freq=A&start=2014&end=2024&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Mon Jul 28 2025 17:08:14 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"All sectors : Alabama","cents per kilowatthour","ELEC.PRICE.AL-ALL.A",9.27,9.33,9.56,9.83,9.63,9.83,9.84,10.18,11.59,11.47,11.84
"All sectors : Kentucky","cents per kilowatthour","ELEC.PRICE.KY-ALL.A",8.15,8.14,8.42,8.57,8.52,8.61,8.58,9.12,10.51,9.96,10.18
"All sectors : Mississippi","cents per kilowatthour","ELEC.PRICE.MS-ALL.A",9.60,9.53,8.67,9.09,9.24,9.28,9.13,9.50,10.36,10.95,10.82
"All sectors : Tennessee","cents per kilowatthour","ELEC.PRICE.TN-ALL.A",9.40,9.30,9.23,9.45,9.58,9.69,9.52,9.78,10.89,10.69,10.97
"All sectors : West South Central",,"ELEC.PRICE.WSC-ALL.A",,,,,,,,,,,
"All sectors : Arkansas","cents per kilowatthour","ELEC.PRICE.AR-ALL.A",7.90,8.19,8.13,8.26,7.78,8.22,8.32,9.10,9.91,9.73,9.54
"All sectors : Louisiana","cents per kilowatthour","ELEC.PRICE.LA-ALL.A",8.09,7.65,7.46,7.79,7.71,7.71,7.51,8.82,10.41,8.91,8.68
"All sectors : Oklahoma","cents per kilowatthour","ELEC.PRICE.OK-ALL.A",8.18,7.90,7.83,8.20,8.09,7.86,7.63,8.52,10.05,9.30,9.08
"All sectors : Texas","cents per kilowatthour","ELEC.PRICE.TX-ALL.A",8.94,8.70,8.43,8.38,8.48,8.60,8.36,9.14,10.16,10.04,10.05
"All sectors : Mountain",,"ELEC.PRICE.MTN-ALL.A",,,,,,,,,,,
"All sectors : Arizona","cents per kilowatthour","ELEC.PRICE.AZ-ALL.A",10.18,10.34,10.33,10.64,10.85,10.52,10.44,10.73,11.31,12.19,12.84
