state,year,total_mw,rps_target,rps_active,solar_active,state_control,avg_retail_price_kwh,mil_metric_tons
LA,2023,344.5,0,0,0,Divided,9.14,72.4
ME,2023,480.99999999999994,0.522,1,0,Dem,8.03,12.3
MD,2023,592.6999999999999,0.33003300970015614,1,1,Dem,10.49,29.7
MA,2023,1342.8,0.2929999999999999,1,1,Dem,12.85,36.5
MI,2023,976.0999999999999,0.15,1,0,Dem,16.5,55.7
MN,2023,1302.2000000000003,0.19999999999999998,1,1,Dem,13.53,38.5
MS,2023,425.6,0,0,0,Rep,11.06,26
MO,2023,100.9,0.15,1,1,Rep,14.34,42.5
MT,2023,177,0,0,0,Rep,10.61,11.9
NE,2023,41.699999999999996,0,0,0,Rep,10.5,16.2
NV,2023,3910.3,0.29,1,0,Divided,10.68,20.6
NH,2023,2.4,0.23400000000000004,1,1,Rep,10.26,10.2
NJ,2023,1170.5999999999997,0.245,1,1,Dem,11.47,53.2
NM,2023,1135.4,0.18223055111242165,1,1,Dem,9.96,17.4
NY,2023,1724.0000000000005,0.40444444444444444,1,0,Dem,10.95,93.3
NC,2023,6652.7999999999965,0.11907925722337201,1,1,Divided,10.69,61.9
ND,2023,0,0,0,0,Rep,9.73,11.7
OH,2023,1809.8000000000002,0.07,1,0,Rep,8.91,69
OK,2023,47.5,0,0,0,Rep,9.3,36
OR,2023,1003.4000000000002,0.1313436069128381,1,1,Dem,10.04,21.6
PA,2023,691.6,0.18,1,1,Divided,12.19,70.6
RI,2023,385.49999999999994,0.23000000000000004,1,0,Dem,11.76,5.2
SC,2023,1559.8999999999999,0,0,0,Rep,9.08,35.1
SD,2023,81,0,0,0,Rep,10.97,7.7
TN,2023,576.2999999999997,0,0,0,Rep,13.09,48.5
TX,2023,15064.299999999996,0.05148374377564464,1,0,Rep,9.47,318.6
UT,2023,1630.7999999999997,0,0,0,Rep,9.03,22.6
VT,2023,146.49999999999997,0.6300000000000001,1,0,Divided,8.39,4.7
VA,2023,3669.3999999999996,0.12594943144086398,1,0,Divided,24.87,55.7
WA,2023,188.39999999999998,0.15,1,0,Dem,10.32,50.4
WV,2023,0,0,0,0,Rep,9.58,13.4
WI,2023,1650.9999999999998,0.1,1,0,Divided,21.41,35.6
WY,2023,92,0,0,0,Rep,38.6,9.9
